"PointID","x","y","z"
8, 8.060000000000000e-01, 0.000000000000000e+00, 0.000000000000000e+00
9, 1.141932746887206e+00, 1.196104012298585e+00, 0.000000000000000e+00
10, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
11, 9.809721849441508e-01, 6.229906904220582e-01, 0.000000000000000e+00
12, 9.725579549789430e-01, 5.930317241668701e-01, 0.000000000000000e+00
13, 9.379488172531169e-01, 4.698055238723757e-01, 0.000000000000000e+00
14, 9.344113601684555e-01, 4.572103134155276e-01, 0.000000000000000e+00
15, 2.573452179908753e-01, 4.457286244392392e-01, 0.000000000000000e+00
16, 8.914012903213514e-01, 3.040720160007473e-01, 0.000000000000000e+00
17, 8.709723430633508e-01, 2.313344815254213e-01, 0.000000000000000e+00
18, 8.615739189147987e-01, 1.978713412284850e-01, 0.000000000000000e+00
19, 8.578222358703617e-01, 1.845132726669315e-01, 0.000000000000000e+00
20, 8.483786144256626e-01, 1.508891170024873e-01, 0.000000000000000e+00
21, 8.101523862838760e-01, 1.478471030890945e-02, 0.000000000000000e+00
22, 8.037536636352537e-01, 0.000000000000000e+00, -2.771025079302491e-04
23, 7.876850255966190e-01, 0.000000000000000e+00, 2.259290112555028e-03
24, 6.908266819000246e-01, 1.196355518341067e+00, 5.021210553737221e-15
25, 6.953142814636233e-01, 1.196103935432436e+00, 7.829332010447977e-03
26, 1.100432251358033e+00, 1.048328915977479e+00, 0.000000000000000e+00
27, 1.109843742752078e+00, 1.081838637161257e+00, 0.000000000000000e+00
28, 1.057491053581242e+00, 8.954367631912222e-01, 0.000000000000000e+00
29, 1.062134691429139e+00, 9.119703645706153e-01, 0.000000000000000e+00
30, 1.087255241012574e+00, 1.001412277793881e+00, 0.000000000000000e+00
31, 1.035914494705203e+00, 8.186132740020778e-01, 0.000000000000000e+00
32, 9.893841089248691e-01, 6.529415857315061e-01, 0.000000000000000e+00
33, 1.002336285781864e+00, 6.990580472946163e-01, 0.000000000000000e+00
34, 3.813567981719970e-01, 6.605198963165282e-01, 0.000000000000000e+00
35, 4.531087356567384e-01, 7.847961650848390e-01, 0.000000000000000e+00
36, 1.855555776596073e-01, 3.213871347427364e-01, 0.000000000000000e+00
37, 2.745616213798520e-01, 0.000000000000000e+00, -3.906325007081034e-02
38, 1.139836453247071e+00, 1.196380192375180e+00, 0.000000000000000e+00
39, 1.138901914596556e+00, 1.196503101348879e+00, 0.000000000000000e+00
40, 7.765311323165895e-01, 0.000000000000000e+00, 3.646925891935828e-03
41, 7.805098779678347e-01, 0.000000000000000e+00, -3.150283788889644e-03
42, 7.954875547409057e-01, 0.000000000000000e+00, 1.296789448335767e-03
43, 7.966327066421508e-01, 0.000000000000000e+00, -1.155526354350150e-03
44, 8.016674394607542e-01, 0.000000000000000e+00, -5.344540184363721e-04
45, 1.135274062919617e+00, 1.196980286407469e+00, 0.000000000000000e+00
46, 1.134656135940551e+00, 1.196104012298585e+00, 9.093538017943484e-04
47, 1.134339831733704e+00, 1.196104012298585e+00, -9.488647293299477e-04
48, 1.096619152259825e+00, 1.196104166030882e+00, -5.547461265325546e-03
49, 1.091462355995181e+00, 1.196104089164733e+00, -6.150613129138944e-03
50, 1.105795894432068e+00, 1.200930514717106e+00, 9.020384081348519e-12
51, 7.199994611740110e-01, 1.209737684440617e+00, 3.519376524235843e-12
52, 3.159966461658480e-02, 0.000000000000000e+00, -2.238389605879781e-02
105, 9.814602081298839e-01, 6.247284803390503e-01, 0.000000000000000e+00
106, 9.820670663833607e-01, 6.268890725135807e-01, 0.000000000000000e+00
107, 9.797631572723413e-01, 6.186860707283017e-01, 0.000000000000000e+00
108, 9.803592542648316e-01, 6.208084604263302e-01, 0.000000000000000e+00
109, 9.835932437896761e-01, 6.323230481147767e-01, 0.000000000000000e+00
110, 9.826892210006709e-01, 6.291042780876163e-01, 0.000000000000000e+00
111, 9.831129840850867e-01, 6.306130068778992e-01, 0.000000000000000e+00
112, 9.850663066864038e-01, 6.375678561210635e-01, 0.000000000000000e+00
113, 9.841235433578454e-01, 6.342113803863523e-01, 0.000000000000000e+00
114, 9.845465377807592e-01, 6.357171882629393e-01, 0.000000000000000e+00
115, 9.793687570571908e-01, 6.172819183349607e-01, 0.000000000000000e+00
116, 9.777307394027732e-01, 6.114495070457461e-01, 0.000000000000000e+00
117, 9.789439178466788e-01, 6.157690772056578e-01, 0.000000000000000e+00
118, 9.783758001327553e-01, 6.137462676048282e-01, 0.000000000000000e+00
119, 9.772958307266199e-01, 6.099011537551882e-01, 0.000000000000000e+00
120, 9.763576793670650e-01, 6.065608583450319e-01, 0.000000000000000e+00
121, 9.767913581848168e-01, 6.081048686981202e-01, 0.000000000000000e+00
122, 9.731791103363057e-01, 5.952435860633852e-01, 0.000000000000000e+00
123, 9.736270862579351e-01, 5.968384049415593e-01, 0.000000000000000e+00
124, 9.742152660369848e-01, 5.989328153610226e-01, 0.000000000000000e+00
125, 9.720341890335079e-01, 5.911670282363891e-01, 0.000000000000000e+00
126, 9.714328651428256e-01, 5.890259216308590e-01, 0.000000000000000e+00
127, 9.756711877822889e-01, 6.041166300773618e-01, 0.000000000000000e+00
128, 9.753255207061764e-01, 6.028856955528256e-01, 0.000000000000000e+00
129, 9.747152034759491e-01, 6.007128432273863e-01, 0.000000000000000e+00
130, 9.596943279266362e-01, 5.472306059837344e-01, 0.000000000000000e+00
131, 9.606375524520862e-01, 5.505889649391174e-01, 0.000000000000000e+00
132, 9.602584486007691e-01, 5.492393106460569e-01, 0.000000000000000e+00
133, 9.625200813293441e-01, 5.572917700767516e-01, 0.000000000000000e+00
134, 9.615622522354139e-01, 5.538813343048095e-01, 0.000000000000000e+00
135, 9.620251401901260e-01, 5.555296520233156e-01, 0.000000000000000e+00
136, 9.611948320388826e-01, 5.525733030319216e-01, 0.000000000000000e+00
137, 9.633057302474968e-01, 5.600890445709228e-01, 0.000000000000000e+00
138, 9.638311872482330e-01, 5.619601588249207e-01, 0.000000000000000e+00
139, 9.643240530014070e-01, 5.637149361610414e-01, 0.000000000000000e+00
140, 9.648781810760473e-01, 5.656878211975098e-01, 0.000000000000000e+00
141, 9.653205457687418e-01, 5.672629239082339e-01, 0.000000000000000e+00
142, 9.657838180541967e-01, 5.689124714851382e-01, 0.000000000000000e+00
143, 9.680589023590069e-01, 5.770130106925966e-01, 0.000000000000000e+00
144, 9.709917303085325e-01, 5.874552771568300e-01, 0.000000000000000e+00
145, 9.700133010864285e-01, 5.839715495109555e-01, 0.000000000000000e+00
146, 9.705545156478894e-01, 5.858984685897825e-01, 0.000000000000000e+00
147, 9.686069580078126e-01, 5.789643347740175e-01, 0.000000000000000e+00
148, 9.695575616836551e-01, 5.823488666534424e-01, 0.000000000000000e+00
149, 9.690131956100458e-01, 5.804105713844299e-01, 0.000000000000000e+00
150, 9.674595769882199e-01, 5.748788989067082e-01, 0.000000000000000e+00
151, 9.670478050231921e-01, 5.734129076957707e-01, 0.000000000000000e+00
152, 9.663640037536649e-01, 5.709782492637631e-01, 0.000000000000000e+00
153, 9.589242828369111e-01, 5.444887904167179e-01, 0.000000000000000e+00
154, 9.584160438537631e-01, 5.426793996810914e-01, 0.000000000000000e+00
155, 9.578553052902242e-01, 5.406826477050786e-01, 0.000000000000000e+00
156, 9.574327720642097e-01, 5.391784155845640e-01, 0.000000000000000e+00
157, 9.567997024536159e-01, 5.369242004394535e-01, 0.000000000000000e+00
158, 9.563026090621973e-01, 5.351544342041018e-01, 0.000000000000000e+00
159, 3.682801750183107e-01, 6.378708624839783e-01, 0.000000000000000e+00
160, 3.673206548690797e-01, 6.362089010238646e-01, 0.000000000000000e+00
161, 3.660957927703861e-01, 6.340874721527103e-01, 0.000000000000000e+00
162, 3.641423933029172e-01, 6.307040932655334e-01, 0.000000000000000e+00
163, 3.651768579483034e-01, 6.324958432197570e-01, 0.000000000000000e+00
164, 3.624638671875000e-01, 6.277968233108524e-01, 0.000000000000000e+00
165, 3.633835706710815e-01, 6.293897974014284e-01, 0.000000000000000e+00
166, 3.615708746910096e-01, 6.262501610755923e-01, 0.000000000000000e+00
167, 3.608422604560856e-01, 6.249882110595706e-01, 0.000000000000000e+00
168, 3.256084699630735e-01, 5.639624067306520e-01, 0.000000000000000e+00
169, 3.248052955627438e-01, 5.625712831497194e-01, 0.000000000000000e+00
170, 3.232659740447996e-01, 5.599051038742066e-01, 0.000000000000000e+00
171, 3.221233202934269e-01, 5.579260311126710e-01, 0.000000000000000e+00
172, 3.096743284702303e-01, 5.363640383720395e-01, 0.000000000000000e+00
173, 3.118547328948978e-01, 5.401405491828919e-01, 0.000000000000000e+00
174, 3.111270987033847e-01, 5.388802902221679e-01, 0.000000000000000e+00
175, 3.089130845546724e-01, 5.350455533027650e-01, 0.000000000000000e+00
176, 3.213232205390928e-01, 5.565402497291566e-01, 0.000000000000000e+00
