"PointID","x","y","z"
8, 8.060000000379188e-01, 0.000000000000000e+00, 0.000000000000000e+00
9, 1.141932746887206e+00, 1.196104012298585e+00, 1.122565183437534e-01
10, 7.089136506801222e-11, 0.000000000000000e+00, 0.000000000000000e+00
11, 9.809721849441466e-01, 6.229906904220532e-01, 4.599226094924750e-01
12, 9.725579549789433e-01, 5.930317241668704e-01, 3.875428021530182e-01
13, 9.379488172531173e-01, 4.698055238723758e-01, 1.570856996161447e-01
14, 9.344113601684558e-01, 4.572103134155276e-01, 1.403280636785849e-01
15, 2.573452179909309e-01, 4.457286244392643e-01, 2.525369377645447e-01
16, 8.914012903213511e-01, 3.040720160007471e-01, 2.317346781873423e-02
17, 8.709723430633508e-01, 2.313344815254213e-01, 6.467702222090151e-03
18, 8.615739189147995e-01, 1.978713412285101e-01, 3.075329511349588e-03
19, 8.578222358703501e-01, 1.845132726669395e-01, 2.199856550816432e-03
20, 8.483786144256622e-01, 1.508891170024873e-01, 8.330994488428781e-04
21, 8.101523862838758e-01, 1.478471030890945e-02, 8.497146821231927e-09
22, 8.037536636732641e-01, 0.000000000000000e+00, -2.771025079302491e-04
23, 7.876850256352662e-01, 0.000000000000000e+00, 2.259290112563681e-03
24, 6.908266819000241e-01, 1.196355518341067e+00, 5.544699915141775e-01
25, 6.953142814636234e-01, 1.196103935432436e+00, 9.147729770954276e-01
26, 1.100432251358032e+00, 1.048328915977479e+00, 7.079583187339480e-01
27, 1.109843742752077e+00, 1.081838637161257e+00, 5.707188060383690e-01
28, 1.057491053581242e+00, 8.954367631912220e-01, 1.006362878594432e+00
29, 1.062134691429139e+00, 9.119703645706149e-01, 1.004252853228979e+00
30, 1.087255241012574e+00, 1.001412277793881e+00, 8.645640105123641e-01
31, 1.035914494705203e+00, 8.186132740020781e-01, 9.347006533508178e-01
32, 9.893841089248688e-01, 6.529415857315060e-01, 5.365851419824125e-01
33, 1.002336285781864e+00, 6.990580472946161e-01, 6.587378241038867e-01
34, 3.813567981719967e-01, 6.605198963165269e-01, 1.489942179374719e+00
35, 4.531087356567390e-01, 7.847961650848402e-01, 2.723462730369523e+00
36, 1.855555776596073e-01, 3.213871347427364e-01, 4.989308068153651e-02
37, 2.745616214395114e-01, 0.000000000000000e+00, -3.906325007081034e-02
38, 1.139836453247071e+00, 1.196380192375180e+00, 1.414672530568321e-01
39, 1.138901914596556e+00, 1.196503101348878e+00, 1.561665876785181e-01
40, 7.765311323557137e-01, 0.000000000000000e+00, 3.646925891935828e-03
41, 7.805098780067961e-01, 0.000000000000000e+00, -3.150283788889644e-03
42, 7.954875547792367e-01, 0.000000000000000e+00, 1.296789448344365e-03
43, 7.966327066804524e-01, 0.000000000000000e+00, -1.155526354350150e-03
44, 8.016674394988500e-01, 0.000000000000000e+00, -5.344540184363721e-04
45, 1.135274062919617e+00, 1.196980286407469e+00, 2.241419525556315e-01
46, 1.134656135940551e+00, 1.196104012298586e+00, 2.428223948826864e-01
47, 1.134339831733704e+00, 1.196104012298585e+00, 2.388475214080157e-01
48, 1.096619152259825e+00, 1.196104166030882e+00, 2.611799001169582e+00
49, 1.091462355995181e+00, 1.196104089164733e+00, 3.257988530648819e+00
50, 1.105795894432068e+00, 1.200930514717106e+00, 1.755655934091020e+00
51, 7.199994611740111e-01, 1.209737684440616e+00, 1.471347962785444e+00
52, 3.159966468613239e-02, 0.000000000000000e+00, -2.238389605878966e-02
105, 9.814602081299048e-01, 6.247284803391638e-01, 4.642709336495078e-01
106, 9.820670663833613e-01, 6.268890725135809e-01, 4.696917428739345e-01
107, 9.797631572723411e-01, 6.186860707283018e-01, 4.492236987626552e-01
108, 9.803592542648315e-01, 6.208084604263302e-01, 4.544880138953000e-01
109, 9.835932437896757e-01, 6.323230481147766e-01, 4.834240034714263e-01
110, 9.826892210006695e-01, 6.291042780876164e-01, 4.752742046490287e-01
111, 9.831129840850861e-01, 6.306130068778995e-01, 4.790873933497069e-01
112, 9.850663066864042e-01, 6.375678561210639e-01, 4.967968629600171e-01
113, 9.841235433578456e-01, 6.342113803863491e-01, 4.882290959224903e-01
114, 9.845465377807594e-01, 6.357171882629398e-01, 4.920646767848438e-01
115, 9.793687570571904e-01, 6.172819183349606e-01, 4.457548803089795e-01
116, 9.777307394027713e-01, 6.114495070457461e-01, 4.314468877295657e-01
117, 9.789439178466788e-01, 6.157690772056577e-01, 4.420243235913593e-01
118, 9.783758001327557e-01, 6.137462676048284e-01, 4.370585223981427e-01
119, 9.772958307265698e-01, 6.099011537552175e-01, 4.276822166207311e-01
120, 9.763576793670643e-01, 6.065608583450319e-01, 4.196018653628219e-01
121, 9.767913581848164e-01, 6.081048686981200e-01, 4.233276209484972e-01
122, 9.731791103363063e-01, 5.952435860633856e-01, 3.927102452801715e-01
123, 9.736270862579346e-01, 5.968384049415589e-01, 3.964503558140381e-01
124, 9.742152660369855e-01, 5.989328153610228e-01, 4.013918228828093e-01
125, 9.720341890335076e-01, 5.911670282363890e-01, 3.832152095567379e-01
126, 9.714328651428251e-01, 5.890259216308588e-01, 3.782699898822459e-01
127, 9.756711877822891e-01, 6.041166300773619e-01, 4.137298827639786e-01
128, 9.753255207061763e-01, 6.028856955528255e-01, 4.107831890619746e-01
129, 9.747152034759197e-01, 6.007128432273792e-01, 4.056103793407634e-01
130, 9.596943279266361e-01, 5.472306059837346e-01, 2.881418532306322e-01
131, 9.606375524520864e-01, 5.505889649391175e-01, 2.949089241720886e-01
132, 9.602584486007691e-01, 5.492393106460570e-01, 2.921803788982812e-01
133, 9.625200813293437e-01, 5.572917700767516e-01, 3.086726513229237e-01
134, 9.615622522354137e-01, 5.538813343048096e-01, 3.016264758619590e-01
135, 9.620251401900932e-01, 5.555296520234161e-01, 3.050226769952500e-01
136, 9.611948320388823e-01, 5.525733030319216e-01, 2.989493162219444e-01
137, 9.633057302474969e-01, 5.600890445709227e-01, 3.145161939543244e-01
138, 9.638311872482328e-01, 5.619601588249209e-01, 3.184600028204561e-01
139, 9.643240530014070e-01, 5.637149361610415e-01, 3.221791976330403e-01
140, 9.648781810760465e-01, 5.656878211975096e-01, 3.263875430078855e-01
141, 9.653205457687420e-01, 5.672629239082340e-01, 3.297691696058340e-01
142, 9.657838180541966e-01, 5.689124714851379e-01, 3.333299015640064e-01
143, 9.680589023590067e-01, 5.770130106925967e-01, 3.510949749878586e-01
144, 9.709917303085329e-01, 5.874552771568303e-01, 3.746623113196835e-01
145, 9.700133010864282e-01, 5.839715495109551e-01, 3.667175687410706e-01
146, 9.705545156478899e-01, 5.858984685897827e-01, 3.711009091361830e-01
147, 9.686069580078129e-01, 5.789643347740175e-01, 3.554424880052675e-01
148, 9.695575616836549e-01, 5.823488666534422e-01, 3.630445323527746e-01
149, 9.690131956100454e-01, 5.804105713844299e-01, 3.586797984526374e-01
150, 9.674595769882200e-01, 5.748788989067080e-01, 3.463677045009195e-01
151, 9.670478050231925e-01, 5.734129076957710e-01, 3.431419214872593e-01
152, 9.663640037536645e-01, 5.709782492637627e-01, 3.378161002489464e-01
153, 9.589242828369114e-01, 5.444887904167183e-01, 2.826810292606079e-01
154, 9.584160438537632e-01, 5.426793996810915e-01, 2.791114593845138e-01
155, 9.578553052902203e-01, 5.406826477050773e-01, 2.751977468092118e-01
156, 9.574327720642101e-01, 5.391784155845643e-01, 2.722734237497229e-01
157, 9.567997024536158e-01, 5.369242004394535e-01, 2.679202243558724e-01
158, 9.563026090621696e-01, 5.351544342040971e-01, 2.645329971461820e-01
159, 3.682801750183100e-01, 6.378708624839781e-01, 1.293675491663752e+00
160, 3.673206548690798e-01, 6.362089010238640e-01, 1.279845035309192e+00
161, 3.660957927703857e-01, 6.340874721527100e-01, 1.262299572841857e+00
162, 3.641423933029171e-01, 6.307040932655332e-01, 1.234600859861972e+00
163, 3.651768579483051e-01, 6.324958432197495e-01, 1.249226640305193e+00
164, 3.624638671875207e-01, 6.277968233108019e-01, 1.211070513975678e+00
165, 3.633835706710811e-01, 6.293897974014283e-01, 1.223931317038983e+00
166, 3.615708746910085e-01, 6.262501610755915e-01, 1.198653370426072e+00
167, 3.608422604560858e-01, 6.249882110595706e-01, 1.188574811545423e+00
168, 3.256084699630736e-01, 5.639624067306531e-01, 7.607178039592468e-01
169, 3.248052955627432e-01, 5.625712831497192e-01, 7.523444736200717e-01
170, 3.232659740447993e-01, 5.599051038742052e-01, 7.364688909791615e-01
171, 3.221233202934269e-01, 5.579260311126705e-01, 7.248276708135856e-01
172, 3.096743284702300e-01, 5.363640383720386e-01, 6.059571398899389e-01
173, 3.118547328948892e-01, 5.401405491827828e-01, 6.257357510512876e-01
174, 3.111270987033847e-01, 5.388802902221673e-01, 6.190860735623408e-01
175, 3.089130845546667e-01, 5.350455533027559e-01, 5.991544856552519e-01
176, 3.213232205390931e-01, 5.565402497291561e-01, 7.167503589836068e-01
177, 3.205073632240450e-01, 5.551271424293698e-01, 7.085774306703384e-01
178, 3.170623953342437e-01, 5.491603691101069e-01, 6.747556432348810e-01
179, 3.179541003227276e-01, 5.507048022270041e-01, 6.834039028917736e-01
180, 3.150909131050103e-01, 5.457457056999209e-01, 6.559010460642820e-01
181, 3.161448248863218e-01, 5.475711230278023e-01, 6.659347419637367e-01
182, 3.198042877674108e-01, 5.539093904495237e-01, 7.015843311320086e-01
183, 3.186893634796139e-01, 5.519783205986026e-01, 6.905896769385923e-01
184, 3.126518733024596e-01, 5.415212189674384e-01, 6.330759848784608e-01
185, 3.143591281414111e-01, 5.444782213210870e-01, 6.489951539898091e-01
186, 3.135127165317544e-01, 5.430122301101685e-01, 6.410686804474525e-01
187, 3.266556175231937e-01, 5.657760635375976e-01, 7.717281941824000e-01
188, 3.274714748382563e-01, 5.671892092704773e-01, 7.803760785916454e-01
189, 3.538388318062215e-01, 6.128580792426682e-01, 1.094194444808764e+00
190, 3.530421525955200e-01, 6.114782165527328e-01, 1.083745358337105e+00
191, 3.508967030525214e-01, 6.077622378349311e-01, 1.055902592016188e+00
192, 3.503646355628964e-01, 6.068407279968256e-01, 1.049062255779269e+00
193, 3.494614198684694e-01, 6.052763096809393e-01, 1.037516474603132e+00
194, 3.520209473609931e-01, 6.097094495773260e-01, 1.070439299524815e+00
195, 3.485087023735017e-01, 6.036261856079062e-01, 1.025419682499637e+00
196, 3.281667675971973e-01, 5.683934712409963e-01, 7.877981152746585e-01
