"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,     0.04789499591,        2.34344103,       2.349226572,       2.434030132,       5.438701528
          0,           0,           1,     -0.0489840995,       2.300960026,       2.384018457,       2.385091669,       5.336015872
          0,           0,           2,     0.03366311727,       2.398530805,       2.443110204,       2.396045124,       5.413915783
          0,           0,           3,      0.1098215821,       2.485229856,       2.466522174,       2.397495663,       5.500611198
          0,           0,           4,      0.1876829044,       2.550111219,       2.535873244,        2.46781005,       5.577468995
          0,           0,           5,      0.2513656951,       2.565471045,        2.60629475,       2.553443508,       5.635826928
          0,           0,           6,      0.2890572249,       2.554042953,       2.654193338,        2.62272029,        5.67227646
          0,           0,           7,      0.3087708213,       2.556774614,       2.699043025,       2.676713942,       5.695079152
          0,           0,           8,      0.3191032771,        2.58045257,        2.73146472,       2.716877956,       5.711904975
          0,           0,           9,      0.3222820712,       2.596719881,       2.740921024,       2.740819244,       5.718819263
          0,           0,          10,      0.3122489493,       2.575338075,       2.727870613,       2.744167922,       5.705215222
          0,           0,          11,      0.2877616474,       2.514763464,        2.69974741,       2.728917694,       5.673724405
          0,           0,          12,      0.2573431405,       2.451222414,       2.665324159,        2.70390513,       5.641226978
          0,           0,          13,      0.2302706945,       2.429516076,       2.628778584,       2.675838012,       5.619763101
          0,           0,          14,      0.2073603758,       2.434282237,       2.589266163,       2.642533134,       5.603503533
          0,           0,          15,      0.1818805156,       2.423356934,       2.544009298,       2.598100386,       5.579739226
          0,           0,          16,      0.1480141007,       2.380945775,       2.490828031,       2.540901054,       5.542681143
          0,           0,          17,      0.1057423744,        2.31371446,       2.429863298,       2.475117731,       5.495565751
          0,           0,          18,     0.05919865235,       2.241119033,       2.364532746,       2.407654996,       5.446123447
          0,           0,          19,     0.01297566384,       2.183161509,       2.300719887,       2.343346248,       5.400664429
          0,           0,          20,    -0.02993548087,        2.14391602,       2.243516514,       2.281822156,       5.360928506
          0,           0,          21,    -0.06885405535,       2.113133867,       2.193528389,       2.219315992,        5.32487085
          0,           0,          22,     -0.1058865675,       2.080848973,       2.146880381,       2.153632107,       5.288638399
          0,           0,          23,     -0.1448829971,       2.042810206,       2.098968272,       2.087447338,       5.248465462
