"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,     0.04789499591,        2.34344103,       2.349226572,       2.434030132,       5.438701528
          0,           0,           1,     -0.0489840995,       2.300960026,       2.384018457,       2.385091669,       5.336015872
          0,           0,           2,     0.03366311727,       2.398530805,       2.443110204,       2.396045124,       5.413915783
          0,           0,           3,      0.1098215821,       2.485229856,       2.466522174,       2.397495663,       5.500611198
          0,           0,           4,      0.1876829044,       2.550111219,       2.535873244,        2.46781005,       5.577468995
          0,           0,           5,      0.2513656951,       2.565471045,        2.60629475,       2.553443508,       5.635826928
          0,           0,           6,      0.2890572249,       2.554042953,       2.654193338,        2.62272029,        5.67227646
          0,           0,           7,      0.3087708213,       2.556774614,       2.699043025,       2.676713942,       5.695079152
          0,           0,           8,      0.3191032771,        2.58045257,        2.73146472,       2.716877956,       5.711904975
          0,           0,           9,      0.3222820712,       2.596719881,       2.740921024,       2.740819244,       5.718819263
          0,           0,          10,      0.3122489493,       2.575338075,       2.727870613,       2.744167922,       5.705215222
          0,           0,          11,      0.2877616474,       2.514763464,        2.69974741,       2.728917694,       5.673724405
          0,           0,          12,      0.2573431405,       2.451222414,       2.665324159,        2.70390513,       5.641226978
          0,           0,          13,      0.2302706945,       2.429516076,       2.628778584,       2.675838012,       5.619763101
          0,           0,          14,      0.2073603758,       2.434282237,       2.589266163,       2.642533134,       5.603503533
          0,           0,          15,      0.1818805156,       2.423356934,       2.544009298,       2.598100386,       5.579739226
          0,           0,          16,      0.1480141007,       2.380945775,       2.490828031,       2.540901054,       5.542681143
          0,           0,          17,      0.1057423744,        2.31371446,       2.429863298,       2.475117731,       5.495565751
          0,           0,          18,     0.05919865235,       2.241119033,       2.364532746,       2.407654996,       5.446123447
          0,           0,          19,     0.01297566384,       2.183161509,       2.300719887,       2.343346248,       5.400664429
          0,           0,          20,    -0.02993548087,        2.14391602,       2.243516514,       2.281822156,       5.360928506
          0,           0,          21,    -0.06885405535,       2.113133867,       2.193528389,       2.219315992,        5.32487085
          0,           0,          22,     -0.1058865675,       2.080848973,       2.146880381,       2.153632107,       5.288638399
          0,           0,          23,     -0.1448829971,       2.042810206,       2.098968272,       2.087447338,       5.248465462
          0,           0,          24,     -0.1887352296,       1.998965019,       2.047919065,        2.02715652,       5.202593718
          0,           0,          25,      -0.237324263,       1.951536446,       1.995690952,       1.977541242,       5.152397672
          0,           0,          26,     -0.2876354067,       1.903369765,       1.947003977,       1.937423311,       5.101740628
          0,           0,          27,     -0.3359121084,       1.856419748,       1.906324073,       1.901694077,       5.054430052
          0,           0,          28,     -0.3803660894,       1.811326807,       1.874354811,       1.866155523,       5.011446226
          0,           0,          29,     -0.4221248466,       1.768221211,       1.847147876,       1.829429494,       4.970615397
          0,           0,          30,     -0.4637503592,       1.727373407,       1.818584903,       1.791853275,       4.928856615
          0,           0,          31,     -0.5071991102,       1.688770188,        1.78335361,       1.753680364,       4.884449446
          0,           0,          32,     -0.5529242462,       1.651331446,       1.738457836,       1.714142941,       4.837699156
          0,           0,          33,     -0.6002030339,       1.612996706,       1.683799928,       1.671752231,       4.790179215
          0,           0,          34,     -0.6479984178,        1.57175817,       1.622693066,        1.62529677,       4.743356491
          0,           0,          35,     -0.6956732551,       1.526714238,       1.561941219,       1.574776816,       4.697536622
          0,           0,          36,     -0.7431745786,       1.478387166,       1.509543276,       1.521900664,       4.651826426
          0,           0,          37,     -0.7907203745,       1.428206805,       1.469258218,       1.469827033,       4.605009568
          0,           0,          38,      -0.838409594,       1.377497346,       1.437162181,        1.42192651,       4.556509934
          0,           0,          39,     -0.8861250795,       1.326633034,       1.405020286,       1.379875161,       4.506763723
          0,           0,          40,      -0.933763164,       1.275052589,       1.365923564,       1.342536215,       4.456854157
          0,           0,          41,     -0.9815093476,       1.222183721,       1.316967175,        1.30670295,       4.407712622
          0,           0,          42,      -1.029845065,        1.16859206,       1.259579496,       1.268909563,        4.35946799
          0,           0,          43,      -1.079218541,       1.116449193,       1.199028337,       1.226814412,       4.311451181
          0,           0,          44,      -1.129629372,       1.068668406,       1.142504541,       1.179689692,       4.262807627
          0,           0,          45,      -1.180464314,       1.026884625,       1.094824041,       1.128343138,       4.213187006
          0,           0,          46,      -1.230777503,        0.98987866,       1.054628536,       1.074793953,       4.162999411
          0,           0,          47,      -1.279914697,      0.9540987339,       1.015713816,       1.021714105,        4.11307771
          0,           0,          48,      -1.328051518,      0.9157100902,      0.9718062229,      0.9715731396,       4.063992068
          0,           0,          49,      -1.376184403,      0.8723483794,      0.9199411205,      0.9256835622,       4.015538018
