"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -1.413987352,      -4.146112637,      -3.844888781,      -5.670769583,        3.94569938,      -5.112443475,                         5,     -0.8486218673,               5,      -2.541487284,       1064568.017,      0.5095058161,      0.5525283845,     -0.8803742183,      0.5144412668,      0.3624085343,       1.704907159,      0.4927776125,     -0.8803742183,      0.5674980325,       1.084439799,   1.784123135e-05
          0,           0,           1,      -1.721875898,      0.4719338698,       0.593616518,      0.7158404255,       3.656065736,      -5.441567952,                         5,     -0.4781525958,               5,       -2.04117203,       1064568.017,      0.3626403865,       0.406773458,     -0.3329737731,      0.3632706518,      0.2078504616,       1.054844543,      0.3503305781,     -0.3329737731,       0.417422067,       1.121699273,   1.654502919e-05
          0,           0,           2,      -1.725422897,      0.5983843471,      0.6971376359,      0.7655790943,       3.641716969,      -5.480861492,                         5,     -0.3894623112,               5,      -1.934624092,       1064568.017,      0.2282436291,      0.3407532565,    -0.06079750008,      0.3143027731,      0.1120065375,      0.6260181662,      0.2179654227,    -0.06079750008,      0.3474176313,       1.492936551,   1.708694409e-05
          0,           0,           3,      -1.656224352,      0.7297014009,      0.8370275883,      0.9022709931,       3.700148645,      -5.431524734,                         5,     -0.4500926841,               5,       -1.97926668,       1064568.017,      0.1334663517,      0.3083352785,     0.08239584123,      0.3162368172,     0.03983051637,      0.2891109989,      0.1241985642,     0.08239584123,      0.3121836441,       2.310209836,   1.814561824e-05
          0,           0,           4,      -1.573022575,      0.8579648891,      0.9442940691,       1.000148314,       3.774499871,      -5.348653785,                         5,     -0.4758868189,               5,      -2.049797397,       1064568.017,     0.07748405228,      0.2891510806,      0.1493829057,      0.3411181211,    -0.01652857334,     0.04110856456,     0.06881416024,      0.1493829057,      0.2913361239,       3.731749593,   1.939497831e-05
          0,           0,           5,       -1.49127229,      0.9598000381,       1.024473508,       1.057250581,       3.849690297,      -5.242492446,                         5,     -0.4737064569,               5,      -2.059187479,       1064568.017,      0.0455754649,      0.2734588834,      0.1788501369,      0.3739938557,    -0.05797584158,     -0.1280454784,     0.03738844386,      0.1788501369,      0.2746979945,       6.000133713,   2.053188074e-05
          0,           0,           6,      -1.402818022,       1.024468565,       1.083945919,       1.086755568,       3.938449621,      -5.146840506,                         5,     -0.5242047628,               5,      -2.030093821,       1064568.017,     0.02643772103,      0.2603678512,      0.1946139365,       0.406004259,    -0.08078244523,     -0.2217731763,     0.01865019237,      0.1946139365,      0.2610412637,       9.848347026,   2.150066969e-05
          0,           0,           7,      -1.318733532,       1.055653513,         1.1174731,        1.09941896,       4.027910141,      -5.091142895,                         5,     -0.5781992421,               5,       -2.12979209,       1064568.017,     0.01627709226,      0.2570291843,      0.2055669926,      0.4408827176,    -0.09060336414,     -0.2452709347,    0.008593803045,      0.2055669926,      0.2574006447,       15.79085381,   2.233646336e-05
          0,           0,           8,       -1.25634565,        1.07222034,       1.120073149,       1.105604543,       4.095654624,      -5.045742282,                         5,     -0.6455484662,               5,       -2.21472156,       1064568.017,     0.01347661539,      0.2624975206,      0.2149322956,      0.4682777135,    -0.09109989915,     -0.2199742907,     0.00563126658,      0.2149322956,      0.2627829072,       19.47800044,   2.314713504e-05
          0,           0,           9,      -1.213976571,       1.126159993,       1.143362332,       1.148257152,        4.14098887,      -4.959476936,                         5,     -0.7115222767,               5,      -2.307836688,       1064568.017,     0.01681012384,      0.2767029863,      0.2197587944,      0.4908905491,    -0.08837696136,      -0.179978266,    0.008539050074,      0.2197587944,        0.27708159,       16.46049659,    2.40094619e-05
          0,           0,          10,      -1.167856351,       1.216922661,       1.242107432,       1.243415162,       4.184750819,      -4.862280254,                         5,     -0.7276043918,               5,        -2.3766751,       1064568.017,     0.02347093534,      0.2972266116,      0.2121314415,      0.5093707676,    -0.08965849811,     -0.1529513176,     0.01458396429,      0.2121314415,      0.2977949822,       12.66360319,   2.491754813e-05
          0,           0,          11,      -1.105644356,       1.283683127,       1.346803261,       1.330733258,       4.240642979,      -4.803360584,                         5,     -0.7609032569,               5,      -2.407205158,       1064568.017,     0.03071167864,      0.3218727866,      0.1902757553,      0.5312660466,    -0.09423350587,     -0.1553194223,     0.02108543406,      0.1902757553,      0.3226464046,        10.4804687,   2.586890819e-05
          0,           0,          12,       -1.04608341,       1.303063976,       1.405156077,       1.375206465,       4.296936504,      -4.791782929,                         5,     -0.8061918443,               5,      -2.423007054,       1064568.017,     0.03586218424,      0.3461589374,      0.1562545989,      0.5552265902,    -0.09363177361,     -0.1840958815,     0.02550835038,      0.1562545989,      0.3470755397,       9.652477803,    2.69305666e-05
          0,           0,          13,        -1.0105132,       1.292504963,       1.418201941,       1.378800274,       4.335091031,       -4.80717774,                         5,      -0.856316659,               5,      -2.460373672,       1064568.017,     0.03814666015,      0.3675365776,      0.1173231835,      0.5838037375,    -0.08744465433,      -0.225407608,     0.02715337637,      0.1173231835,      0.3685118691,       9.634829789,   2.803330002e-05
          0,           0,          14,      -1.004538223,       1.288510204,       1.407394555,       1.363114613,       4.347355568,      -4.808435003,                         5,     -0.9292301293,               5,      -2.489370891,       1064568.017,     0.03744323407,      0.3848366653,     0.07963588612,      0.6171707707,    -0.07282499486,     -0.2669625656,     0.02593360687,     0.07963588612,      0.3857832329,       10.27786928,   2.914423095e-05
          0,           0,          15,      -1.021502457,       1.303192796,       1.393500846,       1.352246386,       4.336383111,      -4.768724624,                         5,     -0.8945314198,               5,      -2.555947129,       1064568.017,     0.03481844922,      0.3957372225,     0.04916232595,      0.6480149709,    -0.05304702182,      -0.291638388,     0.02298445389,     0.04916232595,      0.3966005403,       11.36573372,   3.022116476e-05
          0,           0,          16,      -1.043458169,       1.321818642,       1.393531741,       1.364760073,       4.314445481,      -4.717218537,                         5,     -0.8798769742,               5,      -2.548152959,       1064568.017,     0.03168823375,      0.4012608597,     0.03027553074,      0.6731837772,    -0.03337597548,     -0.2899478665,     0.01969067438,     0.03027553074,      0.4020282316,       12.66277139,   3.121526571e-05
          0,           0,          17,      -1.049163902,       1.333122749,       1.416289824,       1.398394408,       4.301921506,      -4.691723099,                         5,     -0.8617476233,               5,      -2.570498277,       1064568.017,     0.02915015182,      0.4015830544,     0.02211986424,      0.6913397506,    -0.01931366684,     -0.2600860517,     0.01714410238,     0.02211986424,      0.4022744843,       13.77636236,   0.0001260299201
          0,           0,          18,      -1.034390428,       1.327685255,       1.446158715,       1.432537942,       4.309880598,      -4.707362719,                         5,     -0.8919159018,               5,      -2.521216384,       1064568.017,      0.0278312376,       0.395601092,     0.02448139076,      0.6959707327,   -0.009791797241,     -0.2071262959,     0.01600442433,     0.02448139076,      0.3962558014,       14.21428316,   0.0001266989857
          0,           0,          19,      -1.021308658,       1.307013096,       1.464019157,        1.45296425,       4.322975012,      -4.760994171,                         5,     -0.9722750413,               5,      -2.486178669,       1064568.017,     0.02791474544,      0.3855718654,     0.03491877273,      0.6907517266,   -0.007170260726,     -0.1424103318,       0.016387412,     0.03491877273,      0.3862335422,       13.81248008,   0.0001196717982
